Time,bits/s,MBytes/s
1571626893.3525028,2387137495.5560236,298.39218694450295
1571626893.4532099,2822991601.064101,352.8739501330126
1571626893.5559616,2452518943.893005,306.56486798662553
1571626893.6566653,2196709080.617716,274.58863507721446
1571626893.757396,11721305999.45631,1465.1632499320385
1571626893.8612795,12255491739.792986,1531.9364674741232
1571626893.9638994,12143919902.012253,1517.9899877515315
1571626894.064335,12338216276.290741,1542.2770345363426
1571626894.1645765,12036182164.788221,1504.5227705985278
1571626894.265307,11418655472.734306,1427.3319340917883
1571626894.3660376,11794615906.144854,1474.3269882681066
1571626894.5016036,2575307941.1763124,321.91349264703905
1571626894.60236,2518834966.8024287,314.8543708503036
1571626894.7030902,2544858572.831872,318.107321603984
1571626894.803796,2512284020.6285453,314.03550257856824
1571626894.904527,2510683752.9749303,313.83546912186625
1571626895.0052578,2472298072.37749,309.03725904718624
